number,film,release_date,run_time,film_rating,plot,Image URL's
1,Toy Story,22-11-1995,81,G,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,https://c8.alamy.com/comp/BKH34A/toy-story-1995-animated-poster-credit-disney-tysy-001vs-BKH34A.jpg
2,A Bug's Life,25-11-1998,95,G,"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.",https://i.pinimg.com/originals/e7/30/90/e730909d7dc82009648a65ec780c04a9.jpg
3,Toy Story 2,24-11-1999,92,G,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",https://strategicdiscipline.positioningsystems.com/hubfs/images/toy-story-2-poster.jpg
4,"Monsters, Inc.",02-11-2001,92,G,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",https://th.bing.com/th/id/OIP.TA-U17fQ-5s7AMXn0C0osQHaEs?rs=1&pid=ImgDetMain
5,Finding Nemo,30-05-2003,100,G,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",https://th.bing.com/th/id/R.2e061e299caaad96079664f514a089ac?rik=1VebZaIYNvawWA&riu=http%3a%2f%2fvignette2.wikia.nocookie.net%2fdisney%2fimages%2f9%2f9c%2f554_front.jpg%2frevision%2flatest%3fcb%3d20121117134411&ehk=D9fTRv%2fakKr%2bi%2br0hHKnFMGOWoxAbDrHw%2f5U6EF2h5M%3d&risl=&pid=ImgRaw&r=0
6,The Incredibles,05-11-2004,115,PG,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",https://www.themoviedb.org/t/p/original/se5Hxz7PArQZOG3Nx2bpfOhLhtV.jpg
7,Cars,09-06-2006,116,G,"On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town and learns that winning isn't everything in life.",https://th.bing.com/th/id/OIP.wxtLIHuiZ-AlZK2pMa_ZAAHaFj?rs=1&pid=ImgDetMain
8,Ratatouille,29-06-2007,111,G,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,https://th.bing.com/th/id/OIP.MMoMLaYK2VFRPWuxR0PCFAHaLH?rs=1&pid=ImgDetMain
9,WALL-E,27-06-2008,98,G,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.",https://th.bing.com/th/id/R.950af2262af89fde7ec9c1538ad57aee?rik=WgPLL%2b4WRVuR%2fQ&riu=http%3a%2f%2fwww.librarycamden.org%2fwp-content%2fuploads%2fWall-E-2008-poster.jpg&ehk=83s78S10WsIG415OlOhJpRCw5SYxdqO99S8Xpfwi5eY%3d&risl=&pid=ImgRaw&r=0
10,Up,29-05-2009,96,PG,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway.",https://th.bing.com/th/id/OIP.dkO1Bqi3OqhhHqSA0pBPbgHaFj?rs=1&pid=ImgDetMain
11,Toy Story 3,18-06-2010,103,G,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",https://th.bing.com/th/id/OIP.PQh70YpcNgnDx51_vAFG6AHaLH?rs=1&pid=ImgDetMain
12,Cars 2,24-06-2011,106,G,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international e...,https://wallpaperaccess.com/full/302500.jpg
13,Brave,22-06-2012,93,PG,"Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.",https://th.bing.com/th/id/R.fd0d58376a561c750223514bd531c2d4?rik=LQIs3LACE9utYg&riu=http%3a%2f%2fimages5.fanpop.com%2fimage%2fphotos%2f29500000%2fBrave-Poster-Wallpaper-Cropped-brave-29517830-1600-865.png&ehk=dfsGC92AmbnsqsJYIDuRJ%2bbNMe3qFwcLooREs3qrIJs%3d&risl=1&pid=ImgRaw&r=0
14,Monsters University,21-06-2013,104,G,"A look at the relationship between Mike Wazowski and James P. ""Sully"" Sullivan during their days at Monsters University, when they weren't necessarily the best of friends.",https://th.bing.com/th/id/OIP.-uEmJkJO3Ib-uGOOvxu7QgHaJ4?rs=1&pid=ImgDetMain
15,Inside Out,19-06-2015,95,PG,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",https://th.bing.com/th/id/OIP.9SJC7lrd9eFirWgRX8pnwwHaLH?rs=1&pid=ImgDetMain
16,The Good Dinosaur,25-11-2015,93,PG,"In a world where dinosaurs and humans live side-by-side, an Apatosaurus named Arlo makes an unlikely human friend.",https://th.bing.com/th/id/OIP.bhYJwGZVp50SU-cMHgoXegHaLH?rs=1&pid=ImgDetMain
17,Finding Dory,17-06-2016,97,PG,Friendly but forgetful blue tang Dory begins a search for her long-lost parents and everyone learns a few things about the real meaning of family along the way.,https://m.media-amazon.com/images/S/pv-target-images/13bb72e5b497567e1b10f049f25e648a856ba2f159245822f09870df8cc32441.jpg
18,Cars 3,16-06-2017,102,G,Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,https://th.bing.com/th/id/OIP.otvLX555X05SlH0tcmBXOQHaLH?rs=1&pid=ImgDetMain
19,Coco,22-11-2017,105,PG,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",https://th.bing.com/th/id/OIP.MDuIxU2hjNLVKNaT7OetIAHaLH?rs=1&pid=ImgDetMain
20,Incredibles 2,15-06-2018,118,PG,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,https://th.bing.com/th/id/OIP.4Nkh1Bu1bWoSyLXWkobSDQHaK-?rs=1&pid=ImgDetMain
21,Toy Story 4,21-06-2019,100,G,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",https://th.bing.com/th/id/R.d775daa4224a789bd0d13d1ded923429?rik=QgzImt95dOVXPA&riu=http%3a%2f%2fallears.net%2fwp-content%2fuploads%2f2019%2f04%2fTS4_NeonBg_Trio_1s_v1.0_Mech2a_FS_S.jpg&ehk=e3eKsY%2bCrGM%2bfPBbb%2f%2bs2gtep45UrUB7uqQDymbR0DM%3d&risl=1&pid=ImgRaw&r=0
22,Onward,06-03-2020,102,PG,"Teenage elf brothers Ian and Barley embark on a magical quest to spend one more day with their late father. Like any good adventure, their journey is filled with cryptic maps, impossible obstacles and unimaginable discoveries.",https://th.bing.com/th/id/OIP.qV36A-Ehlxm-rEHtRrgGbwHaKl?rs=1&pid=ImgDetMain
23,Soul,25-12-2020,100,PG,"Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul.",https://th.bing.com/th/id/OIP.FYaqDqtZAvT2icizr6bESQHaLH?rs=1&pid=ImgDetMain
24,Luca,18-06-2021,95,PG,"On the Italian Riviera, an unlikely but strong friendship grows between a human being and a sea monster disguised as a human.",https://flxt.tmsimg.com/assets/p19342423_v_v13_ad.jpg
25,Turning Red,11-03-2022,100,PG,"A thirteen-year-old girl named Mei Lee is torn between staying her mother's dutiful daughter and the changes of adolescence. And as if the challenges were not enough, whenever she gets overly excited she transforms into a giant re...",https://assets-prd.ignimgs.com/2021/11/17/turning-red-ver3-button-1637176612873.jpg
26,Lightyear,17-06-2022,105,PG,"While spending years attempting to return home, marooned Space Ranger Buzz Lightyear encounters an army of ruthless robots commanded by Zurg who are attempting to steal his fuel source.",https://th.bing.com/th/id/OIP.08itjrfvWZRCFqaHEzW61QHaLH?rs=1&pid=ImgDetMain
27,Elemental,16-06-2023,101,PG,"Follows Ember and Wade, in a city where fire-, water-, earth- and air-residents live together.",https://mlpnk72yciwc.i.optimole.com/cqhiHLc.IIZS~2ef73/w:auto/h:auto/q:75/https://bleedingcool.com/wp-content/uploads/2023/05/elemental_ver9_xxlg.jpg
28,Inside Out 2,14-06-2024,96,PG,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.",https://th.bing.com/th/id/OIP.b9Et-x6oN1oGxTxVf3Gf_AAAAA?rs=1&pid=ImgDetMain
